en,notes,length (ignore),de,it,es
Can convert sheep even if enemy units are next to them,,54,Können Schafe stehlen auch wenn feindliche Einheiten daneben sind,Può convertire pecore anche se nel campo visivo di unità nemiche,Pueden convertir ovejas incluso si las unidades enemigas están próximas a éstas
Relic and Wonder victories take +100 years to complete,,54,Reliquien- und Wunder-Siege brauchen +100 Jahre,Le vittorie tramite reliquie e meraviglie richiedono +100 anni,Las victorias por Reliquias y Maravilla tardan +100 años en completarse
Should usually be chosen over Trade Cogs when possible,,54,Sollten wenn möglich meistens Handelskoggen vorgezogen werden,Di norma dovrebbero essere preferiti alle navi da carico,Debería ser escogido en lugar de Urcas Mercantes cuando sea posible
"Upgraded by Infantry techs, not affected by Ballistics",,54,"Beeinflusst von Infanterie-Techs, nicht von Ballistik","Potenziato dalle tecnologie per la fanteria, non influenzato dalla balistica","Se beneficia de las tecnologías de Infantería, no es afectado por Balística"
Used to deposit food and research farming improvements,,54,Verwendet zum Ablegen von Nahrung und verbessern von Feldern,Utilizzato per depositare cibo e potenziare le capacità agricole,Usado para depositar comida y desarrollar mejoras para granjas
food so they last longer before you must rebuild them,,53,"Nahrung, sodass sie erst später erneuert werden müssen","cibo, di conseguenza è necessario ricostruirle con minore frequenza","comida, de manera que duran más antes de que tengas que reconstruirlas"
Makes your Castles and Towers stronger by making them,,53,Verbessert Burgen und Türme. Sie,Rende castelli e torri più potenti facendoli,Hace tus Castillos y Torres más fuertes al hacerlos
"not affected by Ballistics, TR, range/attack upgrades",,53,"Nicht beeinflusst von Ballistik, DR, Reichweite/Attack-Techs","non influenzato da balistica, anello, potenziamenti di attacco/gittata","no afectado por Balística, Dactilera, mejoras de alcance/ataque"
Second bolt has 50% of the strength of the first bolt,,53,Zweiter Bolzen hat 50% vom Angriff des Ersten,Il secondo dardo ha il 50% della potenza del primo,El segundo virote tiene el 50% de la fuerza del primer virote
"Upgraded by Cavalry techs, not affected by Ballistics",,53,"Beeinflusst von Kavallerie-Techs, aber nicht von Ballistik","Potenziato dalle tecnologie per la cavalleria, non influenzato dalla balistica","Se beneficia de las tecnologías de Caballería, no es afectado por Balística"
"Slow Infantry with heavy Melee Armor, weak to ranged",,52,"Langsame Infanterie mit schwerer Nahkampfrüstung, verwundbar auf Distanz","Fanteria lenta con robusta corazza da corpo a corpo, debole contro le unità a distanza","Infantería lenta con una pesada Armadura de Melé, débil contra proyectiles"
"Weaker than the cavalier, but excels against Cavalry",,52,"Schwächer als der Chevalier, aber gut gg. Kavallerie","Più debole del cavaliere scelto, ma efficace contro la cavalleria","Más débil que el Caballero, pero excelente contra Caballería"
fast-firing Cavalry Archer with bonus against Siege,,51,schnell schießender Ber. Bogenschütze mit Bonus gg. Belagerungswaffen,Arciere a cavallo veloce nel tirare frecce. Bonus di attacco contro le armi da assedio,Arquero a Caballo de disparo rápido con bonus de ataque contra Armas de Asedio
Infantry +1 Attack per Age (starting in Feudal Age),,51,Infanterie +1 Angriff pro Zeitalter (ab Feudalzeit),Potenza di attacco della fanteria: +1 per ogni età (con inizio nell'età feudale),Infantería tiene +1 de ataque por Edad (a partir de la Edad Feudal)
Makes your Walls and Towers stronger by giving them,,51,"Verbessert Mauern und Türme, sie erhalten",Rende castelli e torri più resistenti fornendo loro,Hace tus Muros y Torres más fuertes al darles
Powerful anti-Building siege weapon with long range,,51,"Belagerungswaffe mit großer Reichweite, stark gg. Gebäude",Potente unità da assedio anti-costruzioni a lunga gittata,Arma de Asedio anti-Edificios poderosa con un largo alcance
Slow and weak. Converts enemy units to your control,,51,Langsam und verwundbar. Bekehrt feindliche Einheiten zu deiner Kontrolle,"Lento e debole, converte le unità nemiche alla propria civiltà",Lento y débil. Convierte unidades enemigas a tu control
"Weaker than the Paladin, but excels against Cavalry",,51,"Schwächer als der Paladin, aber gut gg. Kavallerie","Più debole del paladino, ma efficace contro la cavalleria","Más débil que el Paladín, pero excelente contra Caballería"
doesn't protect against Infantry anti-Building dmg,,50,schützt nicht gegen Gebäudeschaden von Infanterie,non protegge contro il danno anti-costruzioni della fanteria,no protege frente al bonus de daño anti-Edificios de la Infantería
fire with 100% accuracy against non-moving targets,,50,haben 100% Genauigkeit gegen stehende Ziele,tirano con una precisione del 100% contro bersagli fissi,disparan con un 100% de puntería contra objetivos inmóviles
Infantry with a bonus against other Infantry units,,50,Infanterie mit Bonus gg. Infanterie,Fanteria. Bonus di attacco contro altre unità di fanteria,Infantería con un bonus de ataque contra otras unidades de Infantería
"Stronger hand cannoneer, no bonus against Infantry",,50,"Stärkerer leichter Kanoniert, kein Bonus gg. Infanterie",Cannoniere con attacco più elevato ma privo di bonus contro la fanteria,"Artillero Manual más fuerte, sin bonus contra Infantería"
The total cost is 200 gold per each enemy villager,,50,Die Kosten sind 200 Gold pro feindlichem Dorfbewohner,Il costo totale è di 200 unità d'oro per ogni abitante nemico,El coste total es 200 de oro por cada aldeano enemigo
Towers/Castles have increased bonus damage against,,50,Türme/Burgen haben höheren Bonusschaden gegen,Torri e castelli ricevono un ulteriore bonus d'attacco contro,Los/as Torres/Castillos tienen un bonus de daño aumentado contra
Villagers affected by Infantry Blacksmith upgrades,,50,Infanterie-Technologien der Schmieden wirken auf Dorfbewohner,Gli abitanti sono influenzati dai potenziamenti del fabbro che riguardano la fanteria,Los Aldeanos se benefician de las mejoras de Infantería de la Herrería
"Weaker than the knight, but excels against Cavalry",,50,"Schwächer als der Ritter, aber gut gg. Kavallerie","Più debole del cavaliere, ma efficace contro la cavalleria","Más débil que el Jinete, pero excelente contra Caballería"
Condottiero available in Barracks in Imperial Age,,49,In der Imperialzeit Condottiere in Barracken verfügbar,Condottiero disponibile negli alloggiamenti durante l'età imperiale,Condotiero disponible en el Cuartel en la Edad Imperial
Generates resources without the need of Villagers,,49,Generiert Ressourcen (ohne Dorfbewohner),Genera risorse senza il bisogno di abitanti,Genera recursos sin necesitar Aldeanos
"Powerful against massed units, especially Archers",,49,"Stark gg. Gruppen von Einheiten, v.a. Bogenschützen","Efficace contro unità raggruppate, specialmente arcieri","Poderoso contra unidades agrupadas, especialmente Arqueros"
Makes your Villagers harder to kill by providing,... hitpoints,48,"Dorfbewohner sind schwerer zu töten, sie erhalten",Rende gli abitanti del villaggio più resistenti fornendo loro,Hace tus Aldeanos más difíciles de matar al proporcionarles
stacks with Masonry/Architecture/Byzantine bonus,,48,kombinierbar mit Maurerhandwerk/Architektur/Byzantinischer Bonus,si abbina a muratura/architettura/bonus bizantino,es acumulativo con la Albañilería/Arquitectura/Bonus bizantino
Stacks with Masonry/Architecture/Byzantine bonus,,48,Kombinierbar mit Maurerhandwerk/Architektur/Byzantinischer Bonus,Si abbina a muratura/architettura/bonus bizantino,Es acumulativo con la Albañilería/Arquitectura/Bonus bizantino
"Strong against Cavalry, weak against other units",,48,"Stark gg. Kavallerie, schwach gg. andere Einheiten","Forte contro la cavalleria, debole contro altre unità","Fuerte contra Caballería, débil contra otras unidades"
The Kings appear on the mini-map as a flashing X,,48,Die Könige tauchen als blinkendes X auf der Karte auf,I re vengono rappresentati sulla mappa in miniatura da una X lampeggiante,Los Reyes aparecen en el mini-mapa como una X parpadeante
Tower with powerful attack but slow rate of fire,,48,Turm mit hohem Angriff aber langsamer Feuerrate,Torre con attacco potente ma basso rateo di fuoco,Torre con un poderoso ataque pero con una baja tasa de disparo
Damages all units in the path of its projectile,,47,Schädigt all Einheiten in der Schusslinie,Danneggiano tutte le unità presenti sul percorso del proiettile,Daña a todas las unidades que estén en la trayectoria de su proyectil
"Fast, with ranged attack. Ideal for hit-and-run",,47,"Schnell, mit Distanzangriff. Ideal für Hit and Run","Veloce, in grado di attaccare a distanza. Ideale per attacchi fulminei","Rápido, con ataque a distancia. Ideal para ataques de disparo y retirada"
"including Siege Weapons, Warships but not Monks",,47,"inklusive Belagerungswaffen und Schiffe, aber nicht Mönche","inclusi armi da assedio, navi da guerra ma non i monaci","incluyendo Armas de Asedio, Barcos de Guerra pero no Monjes"
Increases the line of sight of all Buildings by,,47,erhöht die Sicht aller Gebäude um,Potenzia il campo visivo di tutte le costruzioni di,Aumenta la línea de visión de todos los Edifcios en
Makes your Towers stronger by making them shoot,...x extra arrows,47,"Verbessert Türme, sie schießen",Rende le torri più potenti facendo tirare loro,Hace tus Torres más fuertes al permitirles disparar
"Resistant to Archer attack, vulnerable to Melee",,47,"Widerstandsfähig gegen Pfeile, verwundbar im Nahkampf","Resistente agli attacchi a distanza, debole a quelli corpo a corpo","Resistente al ataque de Arqueros, vulnerable a Melé"
Cavalry Archer with attack bonus against Siege,,46,Ber. Bogenschütze mit Bonus gegen Belagerungswaffen,Arciere a cavallo. Bonus di attacco contro le armi da assedio,Arquero a Caballo con bonus de ataque contra Armas de Asedio
making buying/selling resources more efficient,,46,wodurch Handel im Marktplatz effizienter wird,rendendo la compravendita di risorse più conveniente,haciendo la compra/venta de recursos más eficientes
Scaling only works over a single layer of wall,,46,Entladen ist nur über eine einzelne Schicht Mauer möglich,Solo uno strato di mura può essere scalato,La escalada sólo funciona sobre una sola capa de muralla
Stronger than Palisade Wall but more expensive,,46,Stärker als der Palisadenwall aber teurer,Più resistenti della cinta a palizzata ma più costoso,Más fuerte que la Empalizada pero más caro
against Building bonus dmg from Siege Weapons,,45,gegen Gebäudeschaden von Belagerungswaffen,contro attacco bonus alle costruzioni da parte delle armi da assedio,contra el bonus de daño contra Edificios de las Armas de Asedio
Medium Cavalry with a bonus against Buildings,,45,Mittlere Kavallerie mit Bonus gg. Gebäude,Cavalleria media. Bonus d'attacco contro le costruzioni,Caballería Media con un bonus de ataque contra Edificios
"Powerful against other ships, but small range",,45,"Stark gg. andere Schiffe, aber kurze Reichweite","Efficace contro le altre navi, ma dalla corta gittata","Poderoso contra otros barcos, pero de corto alcance"
"Powerful, but inaccurate mounted dart thrower",,45,"Starker, aber ungenauer berittener Spießwerfer",Lanciatore di dardi a cavallo potente ma poco preciso,Lanzador de dardos montado poderoso pero poco preciso
Archer with strong attack bonus vs. Infantry,,44,Bogenschütze mit Bonus gg. Infanterie,Arciere. Bonus elevato di attacco contro la fanteria,Arquero con un fuerte bonus de ataque contra Infantería
Cavalry Archer with a bonus vs. Cav. Archers,,44,Ber. Bogenschütze mit Bonus gg. Ber. Bogenschützen,Arciere a cavallo. Bonus di attacco contro gli arcieri a cavallo,Arquero a Caballo con un bonus de ataque contra Arqueros a Caballo
Cavalry Archer with high HP and Pierce Armor,,44,Ber. Bogenschütze mit hohen LP und Fernk.-Panzer,Arciere a cavallo con elevati punti vita e corazza per armi da lancio ,Arquero a Caballo con altos PR y Armadura Anti-Proyectil
Fast Infantry with good Pierce Armor and LoS,,44,Schnelle Inf. mit gutem Fernkampfpanzer und Sicht,Fanteria veloce con robusta corazza per armi da lancio ed elevato campo visivo,"Infantería rápida con buena Armadura Anti-Proyectiles, amplia LDV"
Increases the production speed of stables by,+xx%,44,erhöht die Produktionsgeschwindigkeit von Ställen um,Potenzia la velocità di produzione presso le scuderie del,Aumenta la velocidad de producción de los Establos en un
Also increases the hit points of your Gates,,43,Erhöht auch die LP von Toren,Aumenta anche i punti vita dei cancelli,También aumenta los puntos de resistencia de tus Puertas
Destroyed houses don't lose population room,,43,Zerstörte Häuser verlieren keine Bevölkerung,"Quando una casa viene distrutta, la popolazione massima non cala",Las casas destruidas no pierden su capacidad de población
"Fast and heavy Cavalry, costly but powerful",,43,"Schnelle und schwere Kavallerie, teuer aber stark","Cavalleria pesante e veloce, costosa ma potente","Caballería rápida y pesada, cara pero poderosa"
medium Cavalry with bonus against Buildings,,43,Mittlere Kavallerie mit Bonus gg. Gebäude,Cavalleria media con bonus d'attacco contro le costruzioni,Caballería media con bonus de ataque contra Edificios
Used to improve Buildings and missile units,,43,Verwendet um Gebäude und Fernkampfeinheiten zu verbessern,Utilizzata per potenziare costruzioni e unità con proiettili,Usado para mejorar Edificios y unidades de proyectil
Wooden wall that is cheap and easy to build,,43,Holzwall der schnell und einfach zu bauen ist,Muro di legno poco costoso e di facile costruzione,Muralla de madera barata y fácil de construir
"Archer with high attack, good against Rams",,42,"Bogenschütze mit hohem Angriff, gut gegen Rammen","Arciere con attacco elevato, ottimo contro gli arieti","Arquero con un alto ataque, bueno contra Arietes"
Attacks with Melee damage at a short range,,42,Verursacht Nahkampfschaden auf kurze Distanz,Attacca tramite danno corpo a corpo a corta distanza,Ataca con daño de melé a una corta distancia
Fast Infantry with bonus against Gunpowder,,42,Schnelle Infanterie mit Bonus gegen Schießpulver,Fanteria veloce nei movimenti. Bonus di attacco contro unità con polvere da sparo,Infantería rápida con un bonus de ataque contra Pólvora
Have access to Imperial Skirmisher upgrade,,42,Können Imperiale Plänkler entwickeln,Accesso al potenziamento di fanteria leggera imperiale,Tienen acceso a la mejora Guerrillero Imperial
so they see enemies from a longer distance,,42,sodass sie Feinde aus größerer Entfernung sehen,per consentire di avvistare i nemici da distanze superiori,de manera que ven a los enemigos desde una distancia mayor
Difficult to breach without Siege Weapons,,41,Ohne Belagerungswaffen schwer zu überwinden,Difficili da abbattere senza armi da assedio,Difíciles de derribar sin Armas de Asedio
"Heavily armored, good against other ships",,41,"Schwer gepanzert, gut gegen andere Schiffe","Nave pesantemente corazzata, ideale contro altre navi","Fuertemente acorazado, bueno contra otros barcos"
Powerful Cavalry with bonus vs. Buildings,,41,Mächtige Kavallerie mit Bonus gg. Gebäude,Cavalleria potente. Bonus di attacco contro le costruzioni,Caballería poderosa con bonus de ataque contra Edificios
Spies (Random Map games) instant research, reveals all enemy units and buildings by showing you their line of sight.,41,Spione (Zufallskarte) sofortige Entwicklung,Spie (in partite di mappa casuale) sviluppo istantaneo,La tecnología instantánea Espías (partidas de Mapa Aleatorio)
Warship with long range but low fire rate,,41,"Kriegsschiff mit großer Reichweite, aber langsamer Feuerrate",Nave da guerra a lunga gittata dal basso rateo di fuoco,"Largo alcance, baja tasa de disparo"
Build near forests to gather wood faster,,40,"Baue neben Bäumen, um schneller Holz zu sammeln","Per rendere più veloce la raccolta del legname, costruire falegnamerie vicino alle foreste",Constrúyelo cerca de bosques para recolectar madera más rápido
Enables you to create Tarkans at Stables,,40,Ermöglicht es Tarkane in Ställen zu erschaffen,Consente di creare tarkan nelle scuderie,Permite crear Tarcanos en los Establos
Fast Infantry with a ranged Melee attack,,40,"Schnelle Infanterie, Distanzangriff mit Nahkampfschaden",Fanteria veloce con attacco corpo a corpo a distanza,Infantería rápida con un ataque de Melé a distancia
Fast warship which fires multiple arrows,,40,Schnelles Kriegsschiff dass mehrere Pfeile schießt,Nave da guerra veloce in grado di scagliare più frecce contemporaneamente,Buque de guerra rápido con un corto tiempo de creación
"including Siege Weapons, Warships, Monks",,40,"inklusive Belagerungswaffen, Schiffe und Mönche","inclusi armi da assedio, navi da guerra e monaci","incluyendo Armas de Asedio, Barcos de Guerra, Monjes"
"Mounted Monk, faster but with less range",,40,Ber. Mönch mit weniger Reichweite,"Più veloce del monaco, ma con distanza di conversione inferiore","Monje Montado, más rápido pero con menor visión y alcance"
Units can garrison inside for protection,,40,Bietet Schutz für Dorfbewohner,Può essere presidato da unità a scopo difensivo,Las unidades pueden guarecerse en su interior para protegerse
"Basic Archer, strong against slow units",,39,"Bogenschütze, gut gegen langsame Einheiten","Arciere basilare, forte contro unità lente","Arquero básico, fuerte contra unidades lentas"
"Fast Foot Archer, ideal for hit and run",,39,"Schneller Bogenschütze, ideal für Hit and Run","Arciere a piedi veloce, ideale per attacchi fulminei","Arquero a pie rápido, ideal para tácticas de disparo y retirada"
Improves your Trebuchets by giving them,,39,Verbessert deine Triboke. Sie bekommen,Migliora i trabucchi fornendo loro,Mejora tus Trebuchets al darles
"Infantry, very powerful against Archers",,39,Infanterie mit Bonus gg. Bogenschützen,Fanteria ideale contro gli arcieri,"Infantería, muy poderosa contra Arqueros"
"Powerful, but inaccurate ranged cavalry",,39,"Starker, aber ungenauer Ber. Bogensschütze",Cavalleria a distanza potente ma poco precisa,Caballería a distancia poderosa pero poco precisa
This means they can convert again after,,39,"Das heißt, erneut bekehren können sie nach",Ciò significa che possono effettuare un'altra conversione dopo,Esto significa que pueden convertir otra vez tras
+3 of that blockable by building armor,,38,+3 kann von Gebäudepanzerung geblockt werden,+3 del quale assorbito da corazza costruzioni,+3 de la cual es bloqueable por la armadura de edificios
"Affected by range upgrades, Ballistics",,38,von Ballistik und Reichweiten-Technologien betroffen,"Influenzato da potenziamenti dell'area di tiro con l'arco, balistica","Afectado por las mejoras de alcance, Balística"
"Fast Infantry, powerful but vulnerable",,38,"Schnelle Infanterie, stark aber verwundbar","Fanteria veloce, potente ma vulnerabile","Infantería rápida, poderosa pero vulnerable"
"Fast, cheap Cavalry with extensive LoS",,38,"Schnelle, billiger Kavallerie mit guter Sicht",Cavalleria veloce ed economica dotata di ampio campo visivo,Caballería rápida y barata con una amplia LDV
Heavy cavalry equipped with a Scorpion,,38,Schwere Kavallerie mit Skorpion,Cavalleria pesante dotata di una balestra,Caballería Pesada equipada con un Escorpión
Infantry with attack bonus vs. Cavalry,,38,Infanterie mit Bonus gg. Kavallerie,Fanteria. Bonus di attacco contro la cavalleria,Infantería con un bonus de ataque contra Caballería
Light Cavalry and Hussar upgrades free,,38,Leichte Kavallerie- und Husar-Entwicklung gratis,Potenziamenti di cavalleria leggera e ussaro gratuiti,Mejoras de caballería ligera y húsar gratis
Militia-line units no longer cost Gold,,38,Schertkampf-Einheiten kosten kein Gold mehr,La milizia e i suoi potenziamenti non richiedono più oro per essere creati,Las unidades de la línea de unidades de la Milicia dejan de costar Oro
no range/LoS increase for Town Centers,,38,keine Erhöhung von Sicht/Reichweite für Dorfzentren,centri città non ricevono aumento di gittata e CV,sin aumento de alcance/LdV para Centros Urbanos
Siege weapon used to scale enemy walls,,38,Belagerungswaffe um Mauern zu überwinden,Unità da assedio utile per scalare le mura nemiche,Arma de Asedio usada para escalar las murallas enemigas
and blast damage in a 0.5 tile radius,,37,und Flächenschaden mit 0.5 Radius,e un danno ad area con raggio di 0.5 caselle,y daño de área en un radio de 0.5 cuadros
Killed Monks return 33% of their cost,,37,Getötete Mönche bringen 33% ihrer Kosten zurück,I monaci uccisi restituiscono il 33% del loro costo,Se te devuelve el 33% del coste de los monjes matados
5 dmg per attack in 0.5 blast radius,,36,5 Schaden pro Angriff in 0.5 Radius,5 danni per attacco ad area con raggio 0.5,5 de daño por ataque en un área con un radio de 0.5
Archer with attack bonus vs. Cavalry,,36,Bogenschütze mit Bonus gg. Kavallerie,Arciere. Bonus di attacco contro la cavalleria,Arquero con un bonus de ataque contra Caballería
"Chu Ko Nus +2P, Scorpions +4P Attack",,36,"Chu Ko Nus +2F, Skorpion +4F Angriff","Chu Ko Nu +2 att. dist., Balestre +4 att. dist.",Chu ko nus +2 y escorpiones +4 en ataque de perforación
Infantry deal 5 damage in 0.5 radius,,36,Infanterie verursacht 5 Flächenschaden in 0.5 Radius,La fanteria causa 5 danni entro un raggio di 0.5,Infantería inflinge 5 puntos de daño en un radio de 0.5
Infantry with slow self-regeneration,,36,Infanterie mit langsamer Regeneration,Fanteria con lenta capacità di guarigione,Infantería con una lenta auto-regeneración
Light Cavalry with a bonus vs. Siege,,36,Leiche Kavallerie mit Bonus gg. Belagerungswaffen,Cavalleria leggera. Bonus d'attacco contro le armi da assedio,Caballería Ligera con un bonus de ataque contra Asedio
Onager-line minimum range reduced to,,36,Mindestreichweite Onager-Linie reduziert auf,Gittata minima di mangani e onagri ridotta a,Alcance mínimo de la línea del Onagro reducido a
Pikeman and Halberdier upgrades free,,36,Pikenier- und Hellebardier-Entwicklung gratis,Potenziamenti di picchiere e alabardiere gratuiti,Mejoras de piquero y alabardero son gratis
Reveal enemy positions at game start,,36,Zeigt die Positionen der Gegner am Start,Posizioni dei nemici rivelate a inizio partita,Revela las posiciones enemigas al comienzo de la partida
Blacksmith upgrades don't cost gold,,35,Schmiedeentwicklungen kosten kein Gold,I potenz. del fabbro non costano oro,Las mejoras de la Herrería no cuestan oro
Genitour available in Archery Range,,35,Ginete in Schießanlage verfügbar,Genitour disponibile nell'area di tiro con l'arco,Genitor disponible en la Galería de Tiro con Arco
"high HP, anti-Archer Cavalry Archer",,35,Ber. Bogenschütze mit hohen LP,Arciere a cavallo anti-arcieri con elevati punti vita,"Arquero a Caballo anti-Arqueros, con altos PR"
Used to create and improve Infantry,,35,Verwendet um Infanterie auszubilden und zu verbessern,Utilizzati per creare e potenziare la fanteria,Usado para crear y mejorar Infantería
Villagers kill wolves with 1 strike,,35,Dorfbewohner töten Wölfe in einem Schlag,Gli abitanti uccidono i lupi con 1 solo colpo,Los Aldeanos matan lobos de un sólo golpe
Can build Feitoria in Imperial Age,,34,Können Feitorias in der Imperialzeit bauen,Può costruire la feitoria in età imperiale,Pueden construir Factorías en la Edad Imperial
Cannot be converted by enemy Monks,,34,Nicht bekehrbar,Non può essere convertito dai monaci nemici,No puede ser convertido por Monjes enemigos
"Do not need houses, but start with",-100 wood,34,"Brauchen keine Häuser, aber starten mit","Non hanno bisogno di case, ma iniziano con","No necesitan casas, pero comienzan con"
Free Cartography from the Dark Age,,34,Kartografie kostenlos in Dunkler Zeit,Cartografia gratuita dall'alto Medioevo,Cartografía gratis desde la Alta Edad Media
in Dark/Feudal/Castle/Imperial Age,,34,in der Dunklen/Feudal-/Ritter-/Imperialzeit,in alto medioevo/età feudale/età dei castelli/età imperiale,en Edad Oscura/Feudal/de los Castillos/Imperial
"Required for Archery Range, Stable",,34,"Benötigt für Schießanlage, Stall","Necessari per area di tiro con l'arco, scuderia","Necesario para la Galería de Tiro con Arco, Establo"
Researching Gunpowder technologies,,34,Schießpulver-Technologien erforschen,Lo sviluppo di tecnologie con polvere da sparo,Desarrollar tecnologías de Pólvora
Trebuchets fire 33%/pack 4x faster,,34,Triböke feuern 33%/packen 4x schneller,Trabucchi attaccano il 33%/si smontano 4x più velocemente,Trebuchets disparan 33% más rápido y se [des]arman 4x más rápido
Units garrisoned in Buildings heal,4x faster,34,In Gebäuden quartierte Einheiten heilen,Le unità che presidiano una costruzione guariscono il,Las unidades guarecidad en Edificios se curan
Used to create and improve Archers,,34,Verwendet um Bogenschützen auszubilden und zu verbessern,Utilizzata per creare e potenziare gli arcieri,Usado para crear y mejorar Arqueros
Used to create and improve Cavalry,,34,Verwendet um Kavallerie auszubilden und zu verbessern,Utilizzata per creare e potenziare la cavalleria,Usado para crear y mejorar Caballería
which makes them harder to destroy,,34,wodurch sie schwerer zu zerstören sind,rendendoli più difficili da abbattere,lo que los hace más difíciles de destruir
Fish Traps provide unlimited food,,33,Reusen haben unendlich Nahrung,Le trappole per pesci forniscono cibo illimitato,Las Trampas para Peces proporcionan comida ilimitada
Infantry with fast movement speed,,33,Schnelle Infanterie,Fanteria veloce nei movimenti,Infantería con una rápida velocidad de desplazamiento
Monks can convert enemy Buildings,,33,Mönche können feindliche Gebäude bekehren,I monaci possono convertire le costruzioni nemiche,Los Monjes pueden convertir Edificios enemigos
units/buildings resist conversion,,33,Einheiten/Gebäude widerstehen Bekehrung,Unità e costruzioni più resistenti alla conversione,las unidades/edificios resisten a la conversión
Camel and Gunpowder civilization,,32,Volk von Kamelreitern mit Schießpulver,Civiltà nota per cammelli e polvere da sparo,Civilización de Camellos y Pólvora
Naval and Gunpowder civilization,,32,Volk von Seefahrern mit Schießpulver,Civiltà nota per navi e polvere da sparo,Civilización Naval y de Pólvora
Not affected by Parthian Tactics,,32,Nicht beeinflusst von Parth. Manöver,Non influenzato da tattica dei Parti,No afectado por las Tácticas de los partos
Strengthens Castles by providing,,32,Verstärkt Burgen um,Potenzia i castelli fornendo loro,Fortalece los Castillos al proporcionar
Used to create and improve Monks,,32,Verwendet um Mönche auszubilden und zu verbessern,Utilizzato per creare e potenziare i monaci,Usado para crear y mejorar Monjes
"with ballistics, faster missiles",,32,"mit Ballistik, schnelleren Geschossen","balistica, proiettili più veloci","con balística, proyectiles más rápidos"
Advancing to the next Age costs,,31,Fortschreiten zum nächsten Zeitalter kostet,Passare all'età successiva costa,Avanzar a la siguiente Edad cuesta
"Basic Infantry, cheap to create",,31,"Infanterie, billig auszubilden","Fanteria basilare, economica da creare","Infantería básica, barata de crear"
by removing their minimum range,,31,durch Entfernen der Mindestreichweite,rimuovendo la loro gittata minima,eliminando su alcance mínimo
Can't garrison Siege or Cavalry,,31,Können keine Kavallerie oder Belagerungsw. einquartieren,Non può essere presidiata da armi da assedio o cavalleria,No puede guarecer Armas de Asedio o Caballería
garrisoned Infantry fire arrows,,31,quartierte Inf. schießt Pfeile,fanteria nel presidio tira frecce,la Infantería guarecida dispara flechas como
Garrisoned relics generate gold,,31,Gesammelte Reliquen generieren Gold,"Se custodite in un monastero, le reliquie generano oro",Las reliquias guarecidas generan oro
Gunpowder and Monk civilization,,31,Volk von Mönchen mit Schießpulver,Civiltà nota per polv. da sparo e monaci,Civilización de Pólvora y Monjes
Infantry and Naval civilization,,31,Volk von Infanterie und Seefahrern,Civiltà nota per fanteria e navi,Civilización de infantería y Naval
Infantry and Siege civilization,,31,Volk von Infanterie und Belagerern,Civiltà nota per fanteria e armi da assedio,Civilización de Infantería y Asedio
Infantry with heavy Melee Armor,,31,Infanterie mit schwerer Nahkampfrüstung,Fanteria con robusta corazza da corpo a corpo,Infantería con una pesada Armadura de Melee
more attack bonus vs. Buildings,have 20% ...,31,höheren Angriffsbonus gegen Gebäude,di ulteriore bonus d'attacco contro le costruzioni,más de bonus de ataque contra Edificios
Only available in Regicide game,,31,Nur in Königsmord-Spielen verfügbar,Disponibile solo in modalità regidicio,Sólo disponible en partidas Regicida
Siege and Elephant civilization,,31,Volk von Belagerern und Elefantenreitern,Civiltà nota per armi da assedio ed elefanti,Civilización de Asedio y Elefantes
"Strong, but vulnerable Infantry",,31,"Starke, aber verwundbare Infanterie",Fanteria potente ma vulnerabile,"Fuerte, pero vulnerable a la Infantería"
with bonus against Unique Units,,31,mit Bonus gg. Spezialeinheiten,con bonus d'attacco contro unità riservate,con bonus de ataque contra Unidades Únicas
You and all your allies receive,,31,Du und deine Verbündeten erhalten je,Tu ed ognuno dei tuoi alleati ricevete,Tú y todos tus aliados recibís
Ballistics for Gunpowder units,,30,Ballistik für Schießpulver-Einheiten,Balistica per le unità con polvere da sparo,Balística para las unidades de Pólvora
Cavalry and Naval civilization,,30,Volk von Reitern und Seefahrern,Civiltà nota per cavalleria e navi,Civilización Naval y de Caballería
Cavalry with heavy Melee Armor,,30,Kavallerie mit schwerer Nahkampfrüstung,Cavalleria con robusta corazza da corpo a corpo,Caballería con una pesada Armadura de Melé
"Good against Archers, Spearmen",,30,"Gut gg. Bogenschützen, Speere",Ideale contro arcieri e lancieri,"Bueno contra Arqueros, Lanceros"
Houses can shelter 5 villagers,,30,Häuser können 5 Dorfbewohner beherbergen,Ciascuna casa può essere presidiata da 5 abitanti,Los Aldeanos pueden guarecerse en Casas
Infantry and Monk civilization,,30,Volk von Infanterie und Mönchen,Civiltà nota per fanteria e monaci,Civilización de Infantería y Monjes
Lets you build Cannon Galleons,,30,Lässt dich Kriegsgaleonen bauen,Consente di costruire galeoni armati,Te permite construir Galeons Artillados
Monk and Elephant civilization,,30,Volk von Mönchen und Elefantenreitern,Civiltà nota per monaci ed elefanti,Civilización de Monjes y Elefantes
Only upgraded by Cavalry techs,,30,Nur von Kavallerie-Techs beeinflusst,Potenziato solo dalle tencologie della cavalleria,Sólo mejorado por las tecnologías de Caballería
short-range anti-Cavalry camel,,30,Kamel mit Distanzangriff,cammello anti-cavalleria a corta gittata,Camello anti-Caballería de corto alcance
Tributes 500 gold to each Ally,,30,Jeder Verbündete erhält 500 Gold,dona 500 unità d'oro come tributo,Tributa 500 de oro a cada Aliado
